Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[准备] L4 创建文件夹 bulk_L4_5fa1762b,1,0,23.012948000541655,23.012948000541655,23.012948000541655,23.012948000541655,51.0,0.004979978500139074,0.0,23,23,23,23,23,23,23,23,23,23,23
POST,[准备] L4 创建文件夹 bulk_L4_67e68f6f,1,0,21.616209000058006,21.616209000058006,21.616209000058006,21.616209000058006,51.0,0.004979978500139074,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,[准备] L4 创建文件夹 bulk_L4_6bbc8cf8,1,0,36.895327000820544,36.895327000820544,36.895327000820544,36.895327000820544,51.0,0.004979978500139074,0.0,37,37,37,37,37,37,37,37,37,37,37
POST,[准备] L4 创建文件夹 bulk_L4_72e9f718,1,0,21.625383997161407,21.625383997161407,21.625383997161407,21.625383997161407,51.0,0.004979978500139074,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,[准备] L4 创建文件夹 bulk_L4_73b25c16,1,0,53.95466700065299,53.95466700065299,53.95466700065299,53.95466700065299,52.0,0.004979978500139074,0.0,54,54,54,54,54,54,54,54,54,54,54
POST,[准备] L4 创建文件夹 bulk_L4_77384c6d,1,0,67.3796470000525,67.3796470000525,67.3796470000525,67.3796470000525,51.0,0.004979978500139074,0.0,67,67,67,67,67,67,67,67,67,67,67
POST,[准备] L4 创建文件夹 bulk_L4_7b431fe5,1,0,34.678842002904275,34.678842002904275,34.678842002904275,34.678842002904275,51.0,0.004979978500139074,0.0,35,35,35,35,35,35,35,35,35,35,35
POST,[准备] L4 创建文件夹 bulk_L4_a208a519,1,0,21.76471700295224,21.76471700295224,21.76471700295224,21.76471700295224,51.0,0.004979978500139074,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,[准备] L4 创建文件夹 bulk_L4_a3b1e6c7,1,0,55.115882998507004,55.115882998507004,55.115882998507004,55.115882998507004,51.0,0.004979978500139074,0.0,55,55,55,55,55,55,55,55,55,55,55
POST,[准备] L4 创建文件夹 bulk_L4_b4e522e2,1,0,39.193747001263546,39.193747001263546,39.193747001263546,39.193747001263546,51.0,0.004979978500139074,0.0,39,39,39,39,39,39,39,39,39,39,39
POST,[准备] L4 创建文件夹 bulk_L4_b5139a8f,1,0,34.952862002683105,34.952862002683105,34.952862002683105,34.952862002683105,51.0,0.004979978500139074,0.0,35,35,35,35,35,35,35,35,35,35,35
POST,[准备] L4 创建文件夹 bulk_L4_b57f3d03,1,0,21.7029920022469,21.7029920022469,21.7029920022469,21.7029920022469,51.0,0.004979978500139074,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,[准备] L4 创建文件夹 bulk_L4_ecc70b7e,1,0,25.925313999323407,25.925313999323407,25.925313999323407,25.925313999323407,51.0,0.004979978500139074,0.0,26,26,26,26,26,26,26,26,26,26,26
POST,[准备] L5 创建文件夹 bulk_L5_15820924,1,0,94.7412669993355,94.7412669993355,94.7412669993355,94.7412669993355,52.0,0.004979978500139074,0.0,95,95,95,95,95,95,95,95,95,95,95
POST,[准备] L5 创建文件夹 bulk_L5_1661e722,1,0,27.04937100133975,27.04937100133975,27.04937100133975,27.04937100133975,51.0,0.004979978500139074,0.0,27,27,27,27,27,27,27,27,27,27,27
POST,[准备] L5 创建文件夹 bulk_L5_195affe0,1,0,32.77653599798214,32.77653599798214,32.77653599798214,32.77653599798214,51.0,0.004979978500139074,0.0,33,33,33,33,33,33,33,33,33,33,33
POST,[准备] L5 创建文件夹 bulk_L5_21f4eb2f,1,0,36.49005999977817,36.49005999977817,36.49005999977817,36.49005999977817,51.0,0.004979978500139074,0.0,36,36,36,36,36,36,36,36,36,36,36
POST,[准备] L5 创建文件夹 bulk_L5_34d7e44e,1,0,27.246737998211756,27.246737998211756,27.246737998211756,27.246737998211756,51.0,0.004979978500139074,0.0,27,27,27,27,27,27,27,27,27,27,27
POST,[准备] L5 创建文件夹 bulk_L5_38f19fee,1,0,31.700818999524927,31.700818999524927,31.700818999524927,31.700818999524927,51.0,0.004979978500139074,0.0,32,32,32,32,32,32,32,32,32,32,32
POST,[准备] L5 创建文件夹 bulk_L5_50df06bb,1,0,21.55935100017814,21.55935100017814,21.55935100017814,21.55935100017814,51.0,0.004979978500139074,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,[准备] L5 创建文件夹 bulk_L5_5fa1762b,1,0,23.764092999044806,23.764092999044806,23.764092999044806,23.764092999044806,51.0,0.004979978500139074,0.0,24,24,24,24,24,24,24,24,24,24,24
POST,[准备] L5 创建文件夹 bulk_L5_67e68f6f,1,0,22.486500998638803,22.486500998638803,22.486500998638803,22.486500998638803,51.0,0.004979978500139074,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,[准备] L5 创建文件夹 bulk_L5_6bbc8cf8,1,0,28.14611100257025,28.14611100257025,28.14611100257025,28.14611100257025,51.0,0.004979978500139074,0.0,28,28,28,28,28,28,28,28,28,28,28
POST,[准备] L5 创建文件夹 bulk_L5_72e9f718,1,0,21.53187400108436,21.53187400108436,21.53187400108436,21.53187400108436,51.0,0.004979978500139074,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,[准备] L5 创建文件夹 bulk_L5_73b25c16,1,0,31.95824700014782,31.95824700014782,31.95824700014782,31.95824700014782,52.0,0.004979978500139074,0.0,32,32,32,32,32,32,32,32,32,32,32
POST,[准备] L5 创建文件夹 bulk_L5_77384c6d,1,0,29.605494000861654,29.605494000861654,29.605494000861654,29.605494000861654,52.0,0.004979978500139074,0.0,30,30,30,30,30,30,30,30,30,30,30
POST,[准备] L5 创建文件夹 bulk_L5_7b431fe5,1,0,43.7996699984069,43.7996699984069,43.7996699984069,43.7996699984069,51.0,0.004979978500139074,0.0,44,44,44,44,44,44,44,44,44,44,44
POST,[准备] L5 创建文件夹 bulk_L5_a208a519,1,0,22.07154899952002,22.07154899952002,22.07154899952002,22.07154899952002,51.0,0.004979978500139074,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,[准备] L5 创建文件夹 bulk_L5_a3b1e6c7,1,0,33.97970300284214,33.97970300284214,33.97970300284214,33.97970300284214,51.0,0.004979978500139074,0.0,34,34,34,34,34,34,34,34,34,34,34
POST,[准备] L5 创建文件夹 bulk_L5_b4e522e2,1,0,68.07389499954297,68.07389499954297,68.07389499954297,68.07389499954297,52.0,0.004979978500139074,0.0,68,68,68,68,68,68,68,68,68,68,68
